"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","35.052010","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","33","2","44.245182","0","267"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","30","3","21.349449","0","58"
"Globals","0","2637","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","9","1","7.454629","0","56"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","1","1","2.989555","0","37"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","2","1","11.784079","0","223"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","3","1","4.543950","0","35"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","4","1","4.569834","0","31"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.997393","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","5","1","7.084444","0","34"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","6","1","12.477098","0","104"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","0.988119","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","4.500065","0","13"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","5.399728","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","10","1","54.366932","0","369"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","6","1","71.009109","0","618"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","623","10","1","235.128143","0","24695"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","6","1","36.771828","0","610"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","5","1","83.157425","0","1455"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","0.951217","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","3.869195","0","10"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","3.783424","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","11.884058","0","32"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","3.682818","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","0.993770","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","6.670613","0","20"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","3.698706","0","8"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","50","17","1","23.426907","0","147"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","4","1","109.375977","0","273"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","1.875080","0","6"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","4.990335","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","115","115","1","63.588493","0","115"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","936","962","1","378.307922","0","962"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","10","1","17.387136","0","124"
"/Game/MPTopdownKit/Materials/M_PP_OutlineColored.M_PP_OutlineColored","0","8","8","2","1.692357","0","8"
